Station_Title,Subway_Num,Operation,Station1,Location,Station2,longitude,latitude,x,y,Subway_Num2
罗湖,1,1,罗湖地铁站,"114.118666,22.532083",罗湖(地铁站),114.118666,22.532083,0.773876404,0.236641221,1号线(罗宝线)
国贸,1,1,国贸地铁站,"114.118909,22.539680",国贸(地铁站),114.118909,22.53968,0.773876404,0.320610687,1号线(罗宝线)
老街,1,1,老街地铁站,"114.116939,22.544232",老街(地铁站),114.116939,22.544232,0.773876404,0.452290076,1号线(罗宝线)
大剧院,1,1,大剧院地铁站,"114.107811,22.541800",大剧院(地铁站),114.107811,22.5418,0.723314607,0.393129771,1号线(罗宝线)
科学馆,1,1,科学馆地铁站,"114.094946,22.540618",科学馆(地铁站),114.094946,22.540618,0.672752809,0.339694656,1号线(罗宝线)
华强路,1,1,华强路地铁站,"114.085133,22.540459",华强路(地铁站),114.085133,22.540459,0.654494382,0.339694656,1号线(罗宝线)
岗厦,1,1,岗厦地铁站,"114.068190,22.534854",岗厦(地铁站),114.06819,22.534854,0.598314607,0.339694656,1号线(罗宝线)
会展中心,1,1,会展中心地铁站,"114.061101,22.534769",会展中心(地铁站),114.061101,22.534769,0.55758427,0.33778626,1号线(罗宝线)
购物公园,1,1,购物公园地铁站,"114.054581,22.534655",购物公园(地铁站),114.054581,22.534655,0.528089888,0.33778626,1号线(罗宝线)
香蜜湖,1,1,香蜜湖地铁站,"114.038637,22.538887",香蜜湖(地铁站),114.038637,22.538887,0.497191011,0.33778626,1号线(罗宝线)
车公庙,1,1,车公庙地铁站,"114.025830,22.536247",车公庙(地铁站),114.02583,22.536247,0.460674157,0.33778626,1号线(罗宝线)
竹子林,1,1,竹子林地铁站,"114.013917,22.533357",竹子林(地铁站),114.013917,22.533357,0.411516854,0.33778626,1号线(罗宝线)
侨城东,1,1,侨城东地铁站,"113.996651,22.532406",侨城东(地铁站),113.996651,22.532406,0.384831461,0.33778626,1号线(罗宝线)
华侨城,1,1,华侨城地铁站,"113.985369,22.533489",华侨城(地铁站),113.985369,22.533489,0.356741573,0.33778626,1号线(罗宝线)
世界之窗,1,1,世界之窗地铁站,"113.974216,22.536900",世界之窗(地铁站),113.974216,22.5369,0.320224719,0.33778626,1号线(罗宝线)
白石洲,1,1,白石洲地铁站,"113.967048,22.539604",白石洲(地铁站),113.967048,22.539604,0.29494382,0.33778626,1号线(罗宝线)
高新园,1,1,高新园地铁站,"113.953842,22.540236",高新园(地铁站),113.953842,22.540236,0.27247191,0.33778626,1号线(罗宝线)
深大,1,1,深大地铁站,"113.944173,22.538667",深大(地铁站),113.944173,22.538667,0.248595506,0.33778626,1号线(罗宝线)
桃园,1,1,桃园地铁站,"113.924857,22.532357",桃园(地铁站),113.924857,22.532357,0.224719101,0.33778626,1号线(罗宝线)
大新,1,1,大新地铁站,"113.915072,22.532232",大新(地铁站),113.915072,22.532232,0.202247191,0.33778626,1号线(罗宝线)
鲤鱼门,1,1,鲤鱼门地铁站,"113.903079,22.532005",鲤鱼门(地铁站),113.903079,22.532005,0.179775281,0.33778626,1号线(罗宝线)
前海湾,1,1,前海湾地铁站,"113.897932,22.537121",前海湾(地铁站),113.897932,22.537121,0.141853933,0.33778626,1号线(罗宝线)
新安,1,1,新安地铁站,"113.894625,22.547468",新安(地铁站),113.894625,22.547468,0.141853933,0.33778626,1号线(罗宝线)
