Station_Title,Subway_Num,Operation,Station,x,y
罗湖,1,1,罗湖地铁站,0.773876404,0.236641221
国贸,1,1,国贸地铁站,0.773876404,0.320610687
老街,1,1,老街地铁站,0.773876404,0.452290076
大剧院,1,1,大剧院地铁站,0.723314607,0.393129771
科学馆,1,1,科学馆地铁站,0.672752809,0.339694656
华强路,1,1,华强路地铁站,0.654494382,0.339694656
岗厦,1,1,岗厦地铁站,0.598314607,0.339694656
会展中心,1,1,会展中心地铁站,0.55758427,0.33778626
购物公园,1,1,购物公园地铁站,0.528089888,0.33778626
香蜜湖,1,1,香蜜湖地铁站,0.497191011,0.33778626
车公庙,1,1,车公庙地铁站,0.460674157,0.33778626
竹子林,1,1,竹子林地铁站,0.411516854,0.33778626
侨城东,1,1,侨城东地铁站,0.384831461,0.33778626
华侨城,1,1,华侨城地铁站,0.356741573,0.33778626
世界之窗,1,1,世界之窗地铁站,0.320224719,0.33778626
白石洲,1,1,白石洲地铁站,0.29494382,0.33778626
高新园,1,1,高新园地铁站,0.27247191,0.33778626
深大,1,1,深大地铁站,0.248595506,0.33778626
桃园,1,1,桃园地铁站,0.224719101,0.33778626
大新,1,1,大新地铁站,0.202247191,0.33778626
鲤鱼门,1,1,鲤鱼门地铁站,0.179775281,0.33778626
前海湾,1,1,前海湾地铁站,0.141853933,0.33778626
新安,1,1,新安地铁站,0.141853933,0.33778626
宝安中心,1,1,宝安中心地铁站,0.141853933,0.414122137
宝体,1,1,宝体地铁站,0.119382022,0.442748092
坪洲,1,1,坪洲地铁站,0.119382022,0.473282443
西乡,1,1,西乡地铁站,0.119382022,0.501908397
固戍,1,1,固戍地铁站,0.119382022,0.534351145
后瑞,1,1,后瑞地铁站,0.119382022,0.564885496
机场东,1,1,机场东地铁站,0.119382022,0.603053435
赤湾,2,1,赤湾地铁站,0.068820225,0.08778626
蛇口港,2,1,蛇口港地铁站,0.091292135,0.057251908
海上世界,2,1,海上世界地铁站,0.122191011,0.070610687
水湾,2,1,水湾地铁站,0.141853933,0.097328244
东角头,2,1,东角头地铁站,0.162921348,0.125954198
湾厦,2,1,湾厦地铁站,0.18258427,0.152671756
海月,2,1,海月地铁站,0.200842697,0.177480916
登良,2,1,登良地铁站,0.219101124,0.202290076
后海,2,1,后海地铁站,0.238764045,0.230916031
科苑,2,1,科苑地铁站,0.255617978,0.29389313
红树湾,2,1,红树湾地铁站,0.282303371,0.29389313
世界之窗,2,1,世界之窗地铁站,0.320224719,0.339694656
侨城北,2,1,侨城北地铁站,0.327247191,0.391221374
深康,2,1,深康地铁站,0.344101124,0.391221374
安托山,2,1,安托山地铁站,0.375,0.391221374
侨香,2,1,侨香地铁站,0.394662921,0.391221374
香蜜,2,1,香蜜地铁站,0.414325843,0.391221374
香梅北,2,1,香梅北地铁站,0.433988764,0.391221374
景田,2,1,景田地铁站,0.457865169,0.391221374
莲花西,2,1,莲花西地铁站,0.492977528,0.391221374
福田,2,1,福田地铁站,0.528089888,0.391221374
市民中心,2,1,市民中心地铁站,0.55758427,0.391221374
岗厦北,2,1,岗厦北地铁站,0.598314607,0.391221374
华强北,2,1,华强北地铁站,0.641853933,0.391221374
