date,open,high,low,close,value
2013/4/28,135.30 ,135.98 ,132.10 ,134.21 ,1488566728 
2013/4/29,134.44 ,147.49 ,134.00 ,144.54 ,1603768865 
2013/4/30,144.00 ,146.93 ,134.05 ,139.00 ,1542813125 
2013/5/1,139.00 ,139.89 ,107.72 ,116.99 ,1298954594 
2013/5/2,116.38 ,125.60 ,92.28 ,105.21 ,1168517495 
2013/5/3,106.25 ,108.13 ,79.10 ,97.75 ,1085995169 
2013/5/4,98.10 ,115.00 ,92.50 ,112.50 ,1250316563 
2013/5/5,112.90 ,118.80 ,107.14 ,115.91 ,1288693176 
2013/5/6,115.98 ,124.66 ,106.64 ,112.30 ,1249023060 
2013/5/7,112.25 ,113.44 ,97.70 ,111.50 ,1240593600 
2013/5/8,109.60 ,115.78 ,109.60 ,113.57 ,1264049202 
2013/5/9,113.20 ,113.46 ,109.26 ,112.67 ,1254535382 
2013/5/10,112.80 ,122.00 ,111.55 ,117.20 ,1305479080 
2013/5/11,117.70 ,118.68 ,113.01 ,115.24 ,1284207489 
2013/5/12,115.64 ,117.45 ,113.43 ,115.00 ,1281982625 
2013/5/13,114.82 ,118.70 ,114.50 ,117.98 ,1315710011 
2013/5/14,117.98 ,119.80 ,110.25 ,111.50 ,1243874488 
2013/5/15,111.40 ,115.81 ,103.50 ,114.22 ,1274623813 
2013/5/16,114.22 ,118.76 ,112.20 ,118.76 ,1325726787 
2013/5/17,118.21 ,125.30 ,116.57 ,123.01 ,1373723882 
2013/5/18,123.50 ,125.25 ,122.30 ,123.50 ,1379574546 
2013/5/19,123.21 ,124.50 ,119.57 ,121.99 ,1363204703 
2013/5/20,122.50 ,123.62 ,120.12 ,122.00 ,1363709900 
2013/5/21,122.02 ,123.00 ,121.21 ,122.88 ,1374013440 
2013/5/22,122.89 ,124.00 ,122.00 ,123.89 ,1385778993 
2013/5/23,123.80 ,126.93 ,123.10 ,126.70 ,1417769833 
2013/5/24,126.30 ,133.85 ,125.72 ,133.20 ,1491070770 
2013/5/25,133.10 ,133.22 ,128.90 ,131.98 ,1477958233 
2013/5/26,131.99 ,136.00 ,130.62 ,133.48 ,1495293015 
2013/5/27,133.50 ,135.46 ,124.70 ,129.74 ,1454029510 
2013/5/28,129.77 ,130.58 ,125.60 ,129.00 ,1446189975 
2013/5/29,129.00 ,132.59 ,127.66 ,132.30 ,1483734578 
2013/5/30,132.25 ,132.25 ,127.00 ,128.80 ,1445053941 
2013/5/31,128.80 ,129.90 ,126.40 ,129.00 ,1447870200 
2013/6/1,128.82 ,129.78 ,127.20 ,129.30 ,1451916165 
2013/6/2,129.30 ,129.40 ,115.05 ,122.29 ,1373837500 
2013/6/3,122.50 ,122.50 ,116.00 ,122.22 ,1373708058 
2013/6/4,120.74 ,123.84 ,119.10 ,121.42 ,1365337545 
2013/6/5,121.40 ,123.47 ,119.90 ,121.65 ,1368486469 
2013/6/6,121.90 ,123.10 ,117.25 ,118.00 ,1327960200 
2013/6/7,118.97 ,119.00 ,106.42 ,111.50 ,1255258638 
2013/6/8,111.00 ,111.42 ,107.30 ,108.30 ,1219717920 
2013/6/9,107.89 ,108.99 ,88.50 ,100.00 ,1126642500 
2013/6/10,100.44 ,110.10 ,95.00 ,106.35 ,1198638945 
2013/6/11,106.35 ,109.60 ,104.00 ,108.90 ,1227874725 
2013/6/12,109.00 ,111.79 ,106.73 ,108.15 ,1219969853 
2013/6/13,108.78 ,110.30 ,100.53 ,104.00 ,1173637400 
2013/6/14,103.95 ,104.70 ,98.00 ,99.98 ,1128709292 
2013/6/15,100.00 ,103.70 ,98.00 ,99.99 ,1129245604 
2013/6/16,99.80 ,101.60 ,98.95 ,99.51 ,1124306272 
2013/6/17,99.90 ,102.21 ,99.00 ,101.70 ,1149418485 
2013/6/18,101.95 ,111.11 ,101.03 ,107.40 ,1214216070 
2013/6/19,107.05 ,110.22 ,105.75 ,108.25 ,1224193838 
2013/6/20,108.25 ,114.30 ,107.50 ,110.15 ,1246104920 
2013/6/21,111.29 ,114.99 ,107.68 ,109.50 ,1239214238 
2013/6/22,109.50 ,109.96 ,107.51 ,108.30 ,1226110328 
2013/6/23,108.20 ,108.80 ,106.23 ,107.60 ,1218626490 
2013/6/24,107.90 ,108.33 ,100.98 ,102.74 ,1163935726 
2013/6/25,102.09 ,106.47 ,101.01 ,103.95 ,1178086140 
2013/6/26,103.33 ,105.49 ,102.79 ,104.00 ,1179105200 
