name,group,year,value
Agra,India,1575,200.0
Agra,India,1576,212.0
Agra,India,1577,224.0
Agra,India,1578,236.0
Agra,India,1579,248.0
Agra,India,1580,260.0
Agra,India,1581,272.0
Agra,India,1582,284.0
Agra,India,1583,296.0
Agra,India,1584,308.0
Agra,India,1585,320.0
Agra,India,1586,332.0
Agra,India,1587,344.0
Agra,India,1588,356.0
Agra,India,1589,368.0
Agra,India,1590,380.0
Agra,India,1591,392.0
Agra,India,1592,404.0
Agra,India,1593,416.0
Agra,India,1594,428.0
Agra,India,1595,440.0
Agra,India,1596,452.0
Agra,India,1597,464.0
Agra,India,1598,476.0
Agra,India,1599,488.0
Agra,India,1600,500.0
Agra,India,1601,500.0
Agra,India,1602,500.0
Agra,India,1603,500.0
Agra,India,1604,500.0
Agra,India,1605,500.0
Agra,India,1606,500.0
Agra,India,1607,500.0
Agra,India,1608,500.0
Agra,India,1609,500.0
Agra,India,1610,500.0
Agra,India,1611,496.428571428571
Agra,India,1612,492.857142857143
Agra,India,1613,489.28571428571405
Agra,India,1614,485.71428571428595
Agra,India,1615,482.142857142857
Agra,India,1616,478.571428571429
Agra,India,1617,475.0
Agra,India,1618,471.428571428571
Agra,India,1619,467.857142857143
Agra,India,1620,464.28571428571405
Agra,India,1621,460.71428571428595
Agra,India,1622,457.142857142857
Agra,India,1623,453.571428571429
Agra,India,1624,450.0
Agra,India,1625,446.428571428571
Agra,India,1626,442.857142857143
Agra,India,1627,439.28571428571405
Agra,India,1628,435.71428571428595
Agra,India,1629,432.142857142857
Agra,India,1630,428.571428571429
Agra,India,1631,425.0
Agra,India,1632,421.428571428571
Agra,India,1633,417.857142857143
Agra,India,1634,414.28571428571405
Agra,India,1635,410.71428571428595
Agra,India,1636,407.142857142857
Agra,India,1637,403.571428571429
Agra,India,1638,400.0
Agra,India,1639,376.666666666667
Agra,India,1640,353.333333333333
Agra,India,1641,330.0
Agra,India,1642,306.66666666666697
Agra,India,1643,283.33333333333303
Ahmedabad,India,1573,163.0
Ahmedabad,India,1574,164.0
Ahmedabad,India,1579,171.666666666667
Ahmedabad,India,1580,173.333333333333
Ahmedabad,India,1581,175.0
Ahmedabad,India,1582,176.666666666667
Ahmedabad,India,1583,178.333333333333
Ahmedabad,India,1584,180.0
Ahmedabad,India,1585,180.0
Ahmedabad,India,1586,180.0
Ahmedabad,India,1587,180.0
Ahmedabad,India,1588,180.0
Ahmedabad,India,1589,180.0
Ahmedabad,India,1590,180.0
Ahmedabad,India,1591,180.0
Ahmedabad,India,1592,180.0
Ahmedabad,India,1593,180.0
Ahmedabad,India,1594,180.0
Ahmedabad,India,1595,180.0
Ahmedabad,India,1596,180.0
Ahmedabad,India,1597,182.5
Ahmedabad,India,1598,185.0
Ahmedabad,India,1599,187.5
Ahmedabad,India,1600,190.0
Ahmedabad,India,1601,192.0
Ahmedabad,India,1602,194.0
Ahmedabad,India,1603,196.0
Ahmedabad,India,1604,198.0
Ahmedabad,India,1605,200.0
Ahmedabad,India,1606,202.0
Ahmedabad,India,1607,204.0
Ahmedabad,India,1608,206.0
Ahmedabad,India,1609,208.0
Ahmedabad,India,1610,210.0
Ahmedabad,India,1611,212.0
Ahmedabad,India,1612,214.0
Ahmedabad,India,1613,216.0
Ahmedabad,India,1614,218.0
Ahmedabad,India,1615,220.0
Ahmedabad,India,1616,222.0
Ahmedabad,India,1617,224.0
Ahmedabad,India,1629,248.0
Ahmedabad,India,1630,250.0
Ahmedabad,India,1631,252.0
Ahmedabad,India,1632,254.0
Ahmedabad,India,1633,256.0
Ahmedabad,India,1634,258.0
Ahmedabad,India,1635,260.0
Ahmedabad,India,1636,262.0
Ahmedabad,India,1637,264.0
Ahmedabad,India,1638,266.0
Ahmedabad,India,1639,266.75
Ahmedabad,India,1640,267.5
Ahmedabad,India,1641,268.25
Ahmedabad,India,1642,269.0
Ahmedabad,India,1643,269.75
Ahmedabad,India,1644,270.5
Ahmedabad,India,1645,271.25
Ahmedabad,India,1646,272.0
Ahmedabad,India,1647,272.75
Ahmedabad,India,1648,273.5
