VIN(V),NFET,PEET
-2.00E+01,3.57E-01,1.64E+00
-1.85E+01,2.23E-01,8.50E-01
-1.74E+01,1.27E-01,5.85E-01
-1.58E+01,5.95E-02,4.03E-01
-1.45E+01,1.91E-02,2.78E-01
-1.37E+01,7.39E-03,1.44E-01
-1.26E+01,1.96E-03,8.19E-02
-1.15E+01,2.16E-03,3.86E-02
-1.10E+01,5.71E-04,1.81E-02
-1.04E+01,3.24E-04,4.39E-03
-9.51E+00,3.25E-04,7.10E-03
-8.85E+00,1.67E-04,1.55E-03
-7.10E+00,1.05E-04,7.24E-04
-5.79E+00,1.70E-04,1.07E-03
-3.83E+00,3.34E-04,2.56E-04
-3.17E+00,9.55E-04,2.84E-04
-2.08E+00,5.42E-04,1.09E-04
-9.84E-01,2.28E-03,4.24E-05
-1.09E-01,9.69E-04,8.29E-05
1.42E+00,3.37E-03,6.24E-05
2.30E+00,1.91E-03,9.18E-05
3.39E+00,6.63E-03,4.31E-05
3.83E+00,3.10E-03,3.96E-05
5.36E+00,8.90E-03,4.39E-05
6.45E+00,6.11E-03,3.64E-05
7.54E+00,1.45E-02,8.66E-05
8.20E+00,8.20E-03,3.70E-05
9.29E+00,1.94E-02,1.28E-04
9.95E+00,1.10E-02,6.00E-05
1.15E+01,3.16E-02,1.56E-04
1.23E+01,2.39E-02,7.30E-05
1.32E+01,5.65E-02,2.30E-04
1.37E+01,2.91E-02,8.10E-05
1.52E+01,5.18E-02,1.19E-04
1.65E+01,2.43E-02,1.56E-04
1.78E+01,4.77E-02,7.30E-05
1.83E+01,3.59E-02,2.30E-04
1.91E+01,7.03E-02,8.10E-05
2.00E+01,4.81E-02,1.19E-04
