class,value
n,3.918358065
n,2.556974472
n,5.834538005
n,2.255195523
n,4.443103644
n,3.189654062
n,3.117656139
n,2.941597833
n,3.587362354
n,4.474603822
n,4.481849627
n,1.933735926
n,4.115520836
n,3.508196398
n,3.14612891
n,3.189886657
n,3.274766548
n,3.023173768
n,1.972200115
n,4.451966237
n,1.779408238
n,2.670372299
n,3.129390064
n,3.902226256
n,-0.071511892
n,4.503468249
n,3.10556191
n,1.264935297
n,3.305167748
n,4.41852388
n,2.379668319
n,3.918409726
n,3.37391688
n,4.425410425
n,2.820276055
n,4.101308574
n,2.652868788
n,1.986947925
n,2.711665696
n,2.254069158
n,2.568996348
n,2.917141991
n,3.305726013
n,4.455326377
n,4.989871061
n,3.567723688
n,1.683106707
n,2.507879444
n,4.390189816
n,3.767048266
n,4.074588392
n,3.103132665
n,1.065690547
n,3.893005987
n,2.430677942
n,3.100768368
n,3.31388633
n,4.580086645
n,3.693050556
n,1.239882705
n,3.443214178
n,2.323949029
n,1.12805943
n,3.651174295
n,3.652700785
n,3.024348515
n,2.939394015
n,2.767767115
n,0.6792924
n,3.37606679
n,1.75729913
n,2.237351079
n,3.963016625
n,5.046780214
n,3.253672079
n,2.608567687
n,1.926460614
n,1.282945823
n,1.97505383
n,2.313625275
n,3.931362351
n,3.133903922
n,2.532034981
n,4.158594624
n,2.394215217
n,3.933319705
n,2.331452372
n,3.049118001
n,3.277439156
n,1.619614858
n,3.307749128
n,3.994090049
n,3.902458391
n,3.862161782
n,2.812507878
n,1.673871622
n,4.717382097
n,0.209070088
n,2.513619426
n,3.688421664
s,3.545811234
s,3.971898473
s,3.214781182
s,4.665709135
s,2.482837074
s,3.665906158
s,2.818620305
s,6.778006219
s,2.840052915
s,2.07233642
s,4.029500035
s,4.323163418
s,3.80359477
s,2.478527095
s,4.011576494
s,3.214232561
s,2.403837344
s,3.117199314
s,3.814991342
s,3.229801044
s,6.22718678
s,2.946405023
s,3.296440741
s,3.3068215
s,3.095534486
s,4.639875122
s,2.411270568
s,5.116175429
s,3.168601911
s,4.544762191
s,5.304003409
s,2.976343346
s,2.790949781
s,6.124271764
s,3.772251725
s,2.581439992
s,3.141580761
s,4.702577806
s,2.910000338
s,2.444267986
s,3.471044118
s,5.170526633
s,3.178454379
s,3.783936343
s,3.469834646
s,2.415792501
s,3.881302718
s,2.258262215
s,3.0652338
s,2.588406302
s,3.413803783
s,3.20291432
s,3.300868984
s,5.163727994
s,2.626390998
s,3.112692342
s,3.40807256
s,4.021033343
s,3.849362235
s,2.973421184
s,2.196010109
s,3.401510278
s,2.711972648
s,2.587618646
s,3.481492646
s,3.684555923
s,7.146203657
s,2.439150014
s,4.4004305
s,5.409413394
s,2.890584927
s,3.95811522
s,2.915729416
s,3.248748037
s,2.728933869
s,4.373532217
s,3.789702289
s,2.462272882
s,2.949512239
s,4.163378652
s,2.410244322
s,4.108843024
s,3.569694862
s,2.85313392
s,2.588047737
s,2.921662884
s,3.819963343
s,3.248029391
s,2.966593449
s,3.282577555
s,3.535273384
s,3.183772822
s,5.221130767
s,3.021361779
s,2.922065531
s,2.773554703
s,4.500025021
s,3.067095933
s,2.203738222
s,2.703399795
s,3.336836202
s,2.55591794
s,3.160778062
s,4.47872449
s,2.812812736
s,2.248199289
s,2.424588337
s,2.775880896
s,3.605673683
s,4.154800609
s,2.961191156
s,3.409012974
s,2.692212147
s,4.320021311
s,2.767049337
s,2.536223591
s,3.975931875
s,3.139608202
s,3.5481381
s,3.771166737
s,2.929132174
s,2.881340249
s,3.589583595
s,2.567467739
s,3.158686427
s,4.271213154
s,3.573532828
s,4.071787974
s,2.976295606
s,3.223149502
s,2.726275589
s,3.266618759
s,3.516450858
s,3.901212868
s,5.119294932
s,5.375186937
s,2.364434175
s,4.419667056
s,3.164046116
s,3.349045673
s,5.326372711
s,2.412502538
s,2.853858376
s,3.409120269
s,3.383951577
s,2.970135786
s,2.305513086
s,6.869288162
s,5.386180651
s,4.333685528
s,3.939707558
s,2.565504272
s,3.303636936
s,5.104139719
s,3.547741329
s,3.019050217
s,3.532581054
s,3.283343916
s,3.248689294
s,2.764617312
s,4.808191136
s,2.826538451
s,4.494436102
s,2.040322682
s,2.922763512
s,3.023037112
s,2.761488373
s,3.395649451
s,3.1626951
s,3.104377854
s,2.93322333
s,2.726015447
s,3.328585213
s,6.299338449
s,2.638952967
s,2.742707869
s,4.512287673
s,3.546013116
s,3.997789988
s,2.564292832
s,2.927155994
s,3.518014509
s,2.58270329
s,2.573747644
s,3.372114736
s,3.15535923
s,3.089403344
s,2.992166951
s,3.264429259
s,2.671208094
s,5.267541878
s,2.523945623
